0.393)5
0.403)4.89667067371459
0.413)4.79997855682781
0.423)4.70941430370033
0.433)4.62451740582843
0.443)4.54487055886573
0.453)4.4700947864139
0.463)4.39984520501409
0.473)4.33380733446393
0.483)4.27169387358672
0.493)4.2132418746434
0.503)4.15821026028934
0.513)4.10637763579904
0.523)4.05754035657492
0.533)4.01151081701
0.543)3.96811593181785
0.553)3.92719578515995
0.563)3.8886024264392
0.573)3.85219879460626
0.583)3.81785775534112
0.593)3.78546123760257
0.603)3.7548994578487
0.613)3.72607022177378
0.623)3.6988782947248
0.633)3.67323483308942
0.643)3.64905686991729
0.653)3.62626684887081
0.663)3.60479220132234
0.673)3.58456496203808
0.683)3.56552141942907
0.693)3.54760179681969
0.703)3.53074996159261
0.713)3.51491315942631
0.723)3.50004177115298
0.733)3.48608909003802
0.743)3.47301111752232
0.753)3.46076637567916
0.763)3.44931573482366
0.773)3.43862225487626
0.783)3.42865103922696
0.793)3.41936909997496
0.803)3.41074523353236
0.813)3.40274990568137
0.823)3.39535514526438
0.833)3.38853444576627
0.843)3.38226267411965
0.853)3.37651598612756
0.863)3.37127174795503
0.873)3.3665084631922
0.883000000000001)3.36220570503719
0.893000000000001)3.35834405318845
0.903000000000001)3.35490503507278
0.913000000000001)3.35187107106907
0.923000000000001)3.34922542341729
0.933000000000001)3.34695214852969
0.943000000000001)3.34503605244541
0.953000000000001)3.34346264919188
0.963000000000001)3.34221812183655
0.973000000000001)3.34128928603018
0.983000000000001)3.34066355585998
0.993000000000001)3.3403289118454
1.003)3.34027387092298
1.013)3.34048745827932
1.023)3.3409591809021
1.033)3.34167900272964
1.043)3.34263732128874
1.053)3.34382494571891
1.063)3.34523307608935
1.073)3.34685328392169
1.083)3.3486774938384
1.093)3.35069796626259
1.103)3.35290728110054
1.113)3.35529832234317
1.123)3.3578642635276
1.133)3.36059855400383
1.143)3.36349490595578
1.153)3.36654728212945
1.163)3.36974988422425
1.173)3.37309714190663
1.183)3.37658370240803
1.193)3.38020442067169
1.203)3.38395435001529
1.213)3.38782873327875
1.223)3.39182299442834
1.233)3.39593273059036
1.243)3.40015370448942
1.253)3.40448183726778
1.263)3.40891320166397
1.273)3.4134440155302
1.283)3.41807063566946
1.293)3.42278955197418
1.303)3.42759738184989
1.313)3.43249086490797
1.323)3.4374668579127
1.333)3.44252232996885
1.343)3.44765435793667
1.353)3.45286012206215
1.363)3.45813690181095
1.373)3.46348207189536
1.383)3.46889309848399
1.393)3.47436753558461
1.403)3.47990302159135
1.413)3.48549727598753
1.423)3.49114809619633
1.433)3.49685335457162
1.443)3.50261099552204
1.453)3.5084190327615
1.463)3.51427554667973
1.473)3.52017868182719
1.483)3.52612664450839
1.493)3.53211770047852
1.503)3.53815017273825
1.513)3.54422243942205
1.523)3.55033293177541
1.533)3.55648013221686
1.543)3.56266257248059
1.553)3.56887883183602
1.563)3.57512753538067
1.573)3.58140735240278
1.583)3.58771699481072
1.593)3.59405521562576
1.603)3.60042080753567
1.613)3.60681260150602
1.623)3.61322946544688
1.633)3.61967030293219
1.643)3.62613405196958
1.653)3.63261968381832
1.663)3.63912620185335
1.673)3.64565264047321
1.683)3.65219806405017
1.693)3.6587615659205
1.703)3.66534226741325
1.713)3.67193931691594
1.723)3.67855188897542
1.733)3.68517918343256
1.743)3.69182042458921
1.753)3.69847486040614
1.763)3.70514176173067
1.773)3.71182042155273
1.783)3.71851015428807
1.793)3.72521029508776
1.803)3.73192019917253
1.813)3.73863924119137
1.823)3.74536681460294
1.833)3.75210233107927
1.843)3.75884521993058
1.853)3.76559492755054
1.863)3.77235091688104
1.873)3.77911266689575
1.883)3.78587967210177
1.893)3.79265144205853
1.903)3.79942750091343
1.913)3.80620738695343
1.923)3.81299065217203
1.933)3.81977686185109
1.943)3.82656559415682
1.953)3.83335643974948
1.963)3.84014900140622
1.973)3.84694289365662
1.983)3.85373774243041
1.993)3.86053318471684
2.003)3.86732886823549
2.013)3.87412445111779
2.023)3.88091960159914
2.033)3.88771399772105
2.043)3.89450732704298
2.053)3.90129928636358
2.063)3.90808958145095
2.073)3.91487792678152
2.083)3.92166404528743
2.093)3.92844766811186
2.103)3.93522853437226
2.113)3.94200639093101
2.123)3.94878099217335
2.133)3.95555209979234
2.143)3.96231948258053
2.153)3.96908291622811
2.163)3.97584218312739
2.173)3.98259707218334
2.183)3.98934737862995
2.193)3.99609290385226
2.203)4.00283345521387
2.213)4.00956884588969
2.223)4.01629889470379
2.233)4.02302342597219
2.243)4.02974226935038
2.253)4.03645525968543
2.263)4.04316223687258
2.273)4.04986304571605
2.283)4.05655753579412
2.293)4.06324556132806
2.303)4.06992698105507
2.313)4.07660165810495
2.32299999999999)4.0832694598803
2.33299999999999)4.08993025794039
2.34299999999999)4.09658392788829
2.35299999999999)4.10323034926138
2.36299999999999)4.10986940542494
2.37299999999999)4.11650098346896
2.38299999999999)4.12312497410778
2.39299999999999)4.12974127158272
2.40299999999999)4.13634977356746
2.41299999999999)4.14295038107612
2.42299999999999)4.149542998374
2.43299999999999)4.15612753289078
2.44299999999999)4.16270389513627
2.45299999999999)4.16927199861846
2.46299999999999)4.17583175976395
2.47299999999999)4.18238309784051
2.48299999999999)4.18892593488195
2.49299999999999)4.19546019561496
2.50299999999999)4.20198580738803
2.51299999999999)4.20850270010239
2.52299999999999)4.21501080614477
2.53299999999999)4.22151006032208
2.54299999999999)4.22800039979789
2.55299999999999)4.2344817640306
2.56299999999999)4.24095409471334
2.57299999999999)4.24741733571553
2.58299999999999)4.25387143302599
2.59299999999999)4.26031633469757
2.60299999999999)4.26675199079338
2.61299999999999)4.27317835333439
2.62299999999999)4.27959537624842
2.63299999999999)4.28600301532058
2.64299999999999)4.29240122814499
2.65299999999999)4.29878997407779
2.66299999999999)4.30516921419141
2.67299999999999)4.31153891123005
2.68299999999999)4.31789902956636
2.69299999999999)4.32424953515925
2.70299999999999)4.3305903955128
2.71299999999999)4.33692157963627
2.72299999999999)4.34324305800517
2.73299999999999)4.34955480252333
2.74299999999999)4.35585678648597
2.75299999999999)4.36214898454373
2.76299999999999)4.36843137266764
2.77299999999999)4.37470392811498
2.78299999999999)4.38096662939609
2.79299999999998)4.38721945624193
2.80299999999998)4.39346238957258
2.81299999999998)4.39969541146647
2.82299999999998)4.40591850513049
2.83299999999998)4.41213165487075
2.84299999999998)4.4183348460642
2.85299999999998)4.42452806513089
2.86299999999998)4.43071129950701
2.87299999999998)4.43688453761854
2.88299999999998)4.4430477688556
2.89299999999998)4.44920098354751
2.90299999999998)4.45534417293835
2.91299999999998)4.46147732916327
2.92299999999998)4.46760044522531
2.93299999999998)4.4737135149728
2.94299999999998)4.47981653307743
2.95299999999998)4.48590949501272
2.96299999999998)4.49199239703313
2.97299999999998)4.49806523615368
2.98299999999998)4.50412801013002
2.99299999999998)4.51018071743909
3.00299999999998)4.51622335726013
3.01299999999998)4.5222559294563
3.02299999999998)4.52827843455667
3.03299999999998)4.53429087373866
3.04299999999998)4.54029324881093
3.05299999999998)4.5462855621967
3.06299999999998)4.55226781691746
3.07299999999998)4.55824001657707
3.08299999999998)4.56420216534631
3.09299999999998)4.5701542679477
3.10299999999998)4.5760963296408
3.11299999999998)4.58202835620782
3.12299999999998)4.58795035393955
